"default_code","name","product_id","pvp","precio_lista"
"AV33045","VENOCO GL-5 SAE 85W140 TB 208,2LTS",40,"2564,64","1795,25"
"GV34025","VENOCOMP 130 TB 181.5 Kg",132,"1764,73","1235,31"
"EV33396","VENOELECTRIC SS 50 TB 208 LTS",189,2285,2285
"IV33026","VENOENGRANAJE 220 TB 208 LTS",95,"2108,16","1475,71"
"IV33065","VENOENGRANAJE 320 TB 208 LTS",98,"2435,23","1704,66"
"IV33151","VENOENGRANAJE 680 TB 208 LTS",102,"2542,99","1780,09"
"IV33286","VENOGUIA 68 TB 208 LTS",127,"2266,39","1586,47"
"GV12133","VENOLIT EP0 TB 181,49 KG",140,"2903,91","1642,92"
"GV12141","VENOLIT EP1 TB 181.5 KG",141,"2410,51","1687,35"
"GV19010","VENOLIT EP2 PAILA 15,90 KG",142,"216,99","151,89"
"GV12010","VENOLIT EP2 TAMBOR 181,5 KG",143,"2485,19","1739,63"
"GV12023","VENOLIT MO TAMBOR 181.5 KG",147,"4034,84","2824,38"
"GV12007","VENOLIT MP-2 TB 181,5 KG",52,"2269,54","1588,68"
"GV12404","VENOLIT SP TB 181,5 KG",53,"2430,9","1701,63"
"IV77051","VENOMORGAN 220 LTS",88,"11,1","7,78"
"IV33051","VENOMORGAN 220 TB 208,2 LTS",89,"2710,23","1823,7"
"GX15057","VENONAX RM-3V/ROJA TB 170 KG",152,"2209,71","2209,71"
"IV33075","VENOTHERM 32 TB 208 LTS",130,"3903,93","2732,75"
"BICB20","BIOCEL BIDON 20 L",165,248,"170,78"
"CECINDB20","CEL CLEAN  INDUSTRIAL BIDON 20 LTS",166,"175,67","146,39"
"CECSPB20","CEL CLEAN  SP BIDON 20 LTS",167,"144,23","120,19"
"CECB20","CEL CLEAN BIDON 20 LTS",168,"139,38","116,15"
"CECC12","CEL CLEAN CAJAS 12 LTS",169,"104,16","86,8"
"CECC4G","CEL CLEAN CAJAS GALON 4*3.785 LTS",170,"124,53","103,78"
"CECINDTB","CEL CLEAN INDUSTRIAL  TB 208 LTS.",171,"1634,46","1362,05"
"CECSPTB","CEL CLEAN SP TB 208 L",172,"1441,22","1201,02"
"CECTB","CEL CLEAN TB 208 LTS",173,"1280,66","1067,22"
"CECOMPTB","CEL COOL  MP TAMB  208 LTS",178,"2568,52","2140,43"
"CECOC4G","CEL COOL GALON 4 X 3,785 L.",179,"185,31","154,42"
"CECOMPB20","CEL COOL MP  BIDON 20 LTS",180,"260,02","216,68"
"EMCELCB20","EMULCEL C   BIDON 20LTS",163,236,"206,72"
"EMCELCTB","EMULCEL C (EMULSIONABLE) TB 208LTS.",164,2399,"1999,46"
128,"LUBRICEL D-220 TB 208 LTS",77,1729,1140
"REFTB208","REFRICEL 68 TB 208 LTS",181,2040,"1051,03"
"SHCC4G","SHAMPOO CEL CAJA 4*3.785 LTS",175,"156,82","130,68"
"SHCC12","SHAMPOO CEL CAJAS 12 LTS",176,"127,28","106,07"
